temperature[F],precipitation[cm/hour],wind[km/hour],j,d_j
86.2,12.5,2.9,1,228
86.2,12.5,2.9,2,188
86.2,12.5,2.9,3,165
86.2,12.5,2.9,4,172
86.2,12.5,2.9,5,243
86.2,12.5,2.9,6,220
86.2,12.5,2.9,7,146
86.2,12.5,2.9,8,273
86.2,12.5,2.9,9,288
86.2,12.5,2.9,10,184
42.6,35.94,2.16,1,163
42.6,35.94,2.16,2,138
42.6,35.94,2.16,3,112
42.6,35.94,2.16,4,123
42.6,35.94,2.16,5,167
42.6,35.94,2.16,6,156
42.6,35.94,2.16,7,110
42.6,35.94,2.16,8,189
42.6,35.94,2.16,9,203
42.6,35.94,2.16,10,129
18.7,29.82,2.28,1,142
18.7,29.82,2.28,2,117
18.7,29.82,2.28,3,98
18.7,29.82,2.28,4,107
18.7,29.82,2.28,5,142
18.7,29.82,2.28,6,134
18.7,29.82,2.28,7,94
18.7,29.82,2.28,8,167
18.7,29.82,2.28,9,171
18.7,29.82,2.28,10,116
21.6,5.13,2.41,1,162
21.6,5.13,2.41,2,134
21.6,5.13,2.41,3,114
21.6,5.13,2.41,4,123
21.6,5.13,2.41,5,170
21.6,5.13,2.41,6,162
21.6,5.13,2.41,7,112
21.6,5.13,2.41,8,196
21.6,5.13,2.41,9,204
21.6,5.13,2.41,10,133
15.3,35.69,4.84,1,115
15.3,35.69,4.84,2,104
15.3,35.69,4.84,3,80
15.3,35.69,4.84,4,87
15.3,35.69,4.84,5,127
15.3,35.69,4.84,6,113
15.3,35.69,4.84,7,74
15.3,35.69,4.84,8,143
15.3,35.69,4.84,9,142
15.3,35.69,4.84,10,92
29.9,39.14,3.26,1,136
29.9,39.14,3.26,2,112
29.9,39.14,3.26,3,101
29.9,39.14,3.26,4,108
29.9,39.14,3.26,5,148
29.9,39.14,3.26,6,130
29.9,39.14,3.26,7,92
29.9,39.14,3.26,8,159
29.9,39.14,3.26,9,172
29.9,39.14,3.26,10,114
39.2,40.34,0.9,1,166
39.2,40.34,0.9,2,137
39.2,40.34,0.9,3,122
39.2,40.34,0.9,4,121
39.2,40.34,0.9,5,174
39.2,40.34,0.9,6,160
39.2,40.34,0.9,7,103
39.2,40.34,0.9,8,192
39.2,40.34,0.9,9,204
39.2,40.34,0.9,10,137
31.8,16.04,3.67,1,156
31.8,16.04,3.67,2,128
31.8,16.04,3.67,3,112
31.8,16.04,3.67,4,115
31.8,16.04,3.67,5,163
31.8,16.04,3.67,6,147
31.8,16.04,3.67,7,103
31.8,16.04,3.67,8,189
31.8,16.04,3.67,9,193
31.8,16.04,3.67,10,126
29.8,54.98,2.43,1,128
29.8,54.98,2.43,2,104
29.8,54.98,2.43,3,98
29.8,54.98,2.43,4,100
29.8,54.98,2.43,5,136
29.8,54.98,2.43,6,120
29.8,54.98,2.43,7,83
29.8,54.98,2.43,8,150
29.8,54.98,2.43,9,160
29.8,54.98,2.43,10,110
61.5,35.31,0.13,1,203
61.5,35.31,0.13,2,171
61.5,35.31,0.13,3,145
61.5,35.31,0.13,4,152
61.5,35.31,0.13,5,209
61.5,35.31,0.13,6,194
61.5,35.31,0.13,7,130
61.5,35.31,0.13,8,234
61.5,35.31,0.13,9,252
61.5,35.31,0.13,10,159
82.1,25.82,2.13,1,219
82.1,25.82,2.13,2,177
82.1,25.82,2.13,3,151
82.1,25.82,2.13,4,157
82.1,25.82,2.13,5,225
82.1,25.82,2.13,6,210
82.1,25.82,2.13,7,138
82.1,25.82,2.13,8,250
82.1,25.82,2.13,9,274
82.1,25.82,2.13,10,173
86.4,31.2,0.08,1,236
86.4,31.2,0.08,2,195
86.4,31.2,0.08,3,168
86.4,31.2,0.08,4,171
86.4,31.2,0.08,5,243
86.4,31.2,0.08,6,226
86.4,31.2,0.08,7,150
86.4,31.2,0.08,8,269
86.4,31.2,0.08,9,290
86.4,31.2,0.08,10,188
55.6,6.74,1.86,1,211
55.6,6.74,1.86,2,172
55.6,6.74,1.86,3,152
55.6,6.74,1.86,4,153
55.6,6.74,1.86,5,221
55.6,6.74,1.86,6,199
55.6,6.74,1.86,7,138
55.6,6.74,1.86,8,244
55.6,6.74,1.86,9,264
55.6,6.74,1.86,10,174
85.6,36.21,4.09,1,191
85.6,36.21,4.09,2,161
85.6,36.21,4.09,3,141
85.6,36.21,4.09,4,143
85.6,36.21,4.09,5,200
85.6,36.21,4.09,6,181
85.6,36.21,4.09,7,127
85.6,36.21,4.09,8,221
85.6,36.21,4.09,9,231
85.6,36.21,4.09,10,158
20.0,5.25,0.96,1,167
20.0,5.25,0.96,2,145
20.0,5.25,0.96,3,120
20.0,5.25,0.96,4,133
20.0,5.25,0.96,5,182
20.0,5.25,0.96,6,168
20.0,5.25,0.96,7,110
20.0,5.25,0.96,8,207
20.0,5.25,0.96,9,217
20.0,5.25,0.96,10,137
67.4,46.37,2.86,1,174
67.4,46.37,2.86,2,145
67.4,46.37,2.86,3,127
67.4,46.37,2.86,4,124
67.4,46.37,2.86,5,181
67.4,46.37,2.86,6,162
67.4,46.37,2.86,7,115
67.4,46.37,2.86,8,198
67.4,46.37,2.86,9,208
67.4,46.37,2.86,10,144
70.0,21.18,3.14,1,195
70.0,21.18,3.14,2,170
70.0,21.18,3.14,3,146
70.0,21.18,3.14,4,143
70.0,21.18,3.14,5,205
70.0,21.18,3.14,6,189
70.0,21.18,3.14,7,134
70.0,21.18,3.14,8,234
70.0,21.18,3.14,9,248
70.0,21.18,3.14,10,167
45.4,43.38,2.28,1,159
45.4,43.38,2.28,2,132
45.4,43.38,2.28,3,108
45.4,43.38,2.28,4,117
45.4,43.38,2.28,5,158
45.4,43.38,2.28,6,155
45.4,43.38,2.28,7,97
45.4,43.38,2.28,8,179
45.4,43.38,2.28,9,191
45.4,43.38,2.28,10,125
38.8,58.05,1.9,1,142
38.8,58.05,1.9,2,113
38.8,58.05,1.9,3,99
38.8,58.05,1.9,4,102
38.8,58.05,1.9,5,142
38.8,58.05,1.9,6,136
38.8,58.05,1.9,7,91
38.8,58.05,1.9,8,164
38.8,58.05,1.9,9,174
38.8,58.05,1.9,10,112
31.8,9.66,4.74,1,156
31.8,9.66,4.74,2,130
31.8,9.66,4.74,3,108
31.8,9.66,4.74,4,115
31.8,9.66,4.74,5,166
31.8,9.66,4.74,6,152
31.8,9.66,4.74,7,98
31.8,9.66,4.74,8,180
31.8,9.66,4.74,9,196
31.8,9.66,4.74,10,124
19.5,20.19,0.03,1,166
19.5,20.19,0.03,2,139
19.5,20.19,0.03,3,119
19.5,20.19,0.03,4,124
19.5,20.19,0.03,5,176
19.5,20.19,0.03,6,160
19.5,20.19,0.03,7,113
19.5,20.19,0.03,8,189
19.5,20.19,0.03,9,201
19.5,20.19,0.03,10,137
15.7,35.92,2.54,1,132
15.7,35.92,2.54,2,109
15.7,35.92,2.54,3,99
15.7,35.92,2.54,4,98
15.7,35.92,2.54,5,141
15.7,35.92,2.54,6,126
15.7,35.92,2.54,7,88
15.7,35.92,2.54,8,150
15.7,35.92,2.54,9,162
15.7,35.92,2.54,10,112
10.2,11.11,3.87,1,137
10.2,11.11,3.87,2,117
10.2,11.11,3.87,3,99
10.2,11.11,3.87,4,99
10.2,11.11,3.87,5,144
10.2,11.11,3.87,6,134
10.2,11.11,3.87,7,92
10.2,11.11,3.87,8,162
10.2,11.11,3.87,9,174
10.2,11.11,3.87,10,114
87.9,32.8,3.89,1,202
87.9,32.8,3.89,2,165
87.9,32.8,3.89,3,142
87.9,32.8,3.89,4,147
87.9,32.8,3.89,5,204
87.9,32.8,3.89,6,188
87.9,32.8,3.89,7,132
87.9,32.8,3.89,8,228
87.9,32.8,3.89,9,247
87.9,32.8,3.89,10,167
55.5,1.93,4.26,1,191
55.5,1.93,4.26,2,166
55.5,1.93,4.26,3,139
55.5,1.93,4.26,4,139
55.5,1.93,4.26,5,195
55.5,1.93,4.26,6,182
55.5,1.93,4.26,7,121
55.5,1.93,4.26,8,228
55.5,1.93,4.26,9,242
55.5,1.93,4.26,10,154
20.1,16.9,4.5,1,134
20.1,16.9,4.5,2,118
20.1,16.9,4.5,3,103
20.1,16.9,4.5,4,98
20.1,16.9,4.5,5,145
20.1,16.9,4.5,6,137
20.1,16.9,4.5,7,93
20.1,16.9,4.5,8,159
20.1,16.9,4.5,9,176
20.1,16.9,4.5,10,118
88.3,37.12,4.5,1,187
88.3,37.12,4.5,2,153
88.3,37.12,4.5,3,139
88.3,37.12,4.5,4,139
88.3,37.12,4.5,5,195
88.3,37.12,4.5,6,180
88.3,37.12,4.5,7,124
88.3,37.12,4.5,8,220
88.3,37.12,4.5,9,239
88.3,37.12,4.5,10,158
41.1,23.0,4.96,1,154
41.1,23.0,4.96,2,125
41.1,23.0,4.96,3,111
41.1,23.0,4.96,4,113
41.1,23.0,4.96,5,152
41.1,23.0,4.96,6,143
41.1,23.0,4.96,7,99
41.1,23.0,4.96,8,177
41.1,23.0,4.96,9,186
41.1,23.0,4.96,10,124
21.8,34.52,2.89,1,141
21.8,34.52,2.89,2,120
21.8,34.52,2.89,3,102
21.8,34.52,2.89,4,105
21.8,34.52,2.89,5,140
21.8,34.52,2.89,6,130
21.8,34.52,2.89,7,91
21.8,34.52,2.89,8,163
21.8,34.52,2.89,9,175
21.8,34.52,2.89,10,115
14.9,37.21,1.7,1,129
14.9,37.21,1.7,2,114
14.9,37.21,1.7,3,95
14.9,37.21,1.7,4,103
14.9,37.21,1.7,5,144
14.9,37.21,1.7,6,135
14.9,37.21,1.7,7,88
14.9,37.21,1.7,8,159
14.9,37.21,1.7,9,170
14.9,37.21,1.7,10,106
84.2,22.26,0.9,1,231
84.2,22.26,0.9,2,202
84.2,22.26,0.9,3,164
84.2,22.26,0.9,4,170
84.2,22.26,0.9,5,246
84.2,22.26,0.9,6,223
84.2,22.26,0.9,7,152
84.2,22.26,0.9,8,280
84.2,22.26,0.9,9,289
84.2,22.26,0.9,10,191
82.4,52.61,0.13,1,199
82.4,52.61,0.13,2,164
82.4,52.61,0.13,3,144
82.4,52.61,0.13,4,150
82.4,52.61,0.13,5,208
82.4,52.61,0.13,6,196
82.4,52.61,0.13,7,125
82.4,52.61,0.13,8,233
82.4,52.61,0.13,9,246
82.4,52.61,0.13,10,163
64.1,31.74,1.46,1,191
64.1,31.74,1.46,2,162
64.1,31.74,1.46,3,143
64.1,31.74,1.46,4,150
64.1,31.74,1.46,5,200
64.1,31.74,1.46,6,189
64.1,31.74,1.46,7,122
64.1,31.74,1.46,8,227
64.1,31.74,1.46,9,241
64.1,31.74,1.46,10,162
79.6,0.76,0.08,1,267
79.6,0.76,0.08,2,219
79.6,0.76,0.08,3,187
79.6,0.76,0.08,4,198
79.6,0.76,0.08,5,278
79.6,0.76,0.08,6,259
79.6,0.76,0.08,7,173
79.6,0.76,0.08,8,317
79.6,0.76,0.08,9,330
79.6,0.76,0.08,10,215
50.8,25.04,1.57,1,181
50.8,25.04,1.57,2,153
50.8,25.04,1.57,3,137
50.8,25.04,1.57,4,144
50.8,25.04,1.57,5,194
50.8,25.04,1.57,6,177
50.8,25.04,1.57,7,124
50.8,25.04,1.57,8,214
50.8,25.04,1.57,9,230
50.8,25.04,1.57,10,158
14.7,9.29,1.11,1,162
14.7,9.29,1.11,2,139
14.7,9.29,1.11,3,113
14.7,9.29,1.11,4,122
14.7,9.29,1.11,5,166
14.7,9.29,1.11,6,159
14.7,9.29,1.11,7,108
14.7,9.29,1.11,8,187
14.7,9.29,1.11,9,202
14.7,9.29,1.11,10,131
34.6,44.82,1.62,1,150
34.6,44.82,1.62,2,130
34.6,44.82,1.62,3,111
34.6,44.82,1.62,4,105
34.6,44.82,1.62,5,150
34.6,44.82,1.62,6,146
34.6,44.82,1.62,7,92
34.6,44.82,1.62,8,170
34.6,44.82,1.62,9,182
34.6,44.82,1.62,10,120
36.2,45.78,3.1,1,141
36.2,45.78,3.1,2,120
36.2,45.78,3.1,3,101
36.2,45.78,3.1,4,104
36.2,45.78,3.1,5,143
36.2,45.78,3.1,6,132
36.2,45.78,3.1,7,94
36.2,45.78,3.1,8,169
36.2,45.78,3.1,9,170
36.2,45.78,3.1,10,118
45.8,45.08,1.92,1,157
45.8,45.08,1.92,2,135
45.8,45.08,1.92,3,116
45.8,45.08,1.92,4,121
45.8,45.08,1.92,5,164
45.8,45.08,1.92,6,147
45.8,45.08,1.92,7,102
45.8,45.08,1.92,8,180
45.8,45.08,1.92,9,196
45.8,45.08,1.92,10,131
46.3,31.97,1.06,1,175
46.3,31.97,1.06,2,147
46.3,31.97,1.06,3,123
46.3,31.97,1.06,4,129
46.3,31.97,1.06,5,189
46.3,31.97,1.06,6,174
46.3,31.97,1.06,7,116
46.3,31.97,1.06,8,205
46.3,31.97,1.06,9,219
46.3,31.97,1.06,10,144
99.8,5.1,2.18,1,265
99.8,5.1,2.18,2,226
99.8,5.1,2.18,3,185
99.8,5.1,2.18,4,192
99.8,5.1,2.18,5,272
99.8,5.1,2.18,6,259
99.8,5.1,2.18,7,172
99.8,5.1,2.18,8,305
99.8,5.1,2.18,9,333
99.8,5.1,2.18,10,211
93.2,32.9,0.16,1,238
93.2,32.9,0.16,2,195
93.2,32.9,0.16,3,166
93.2,32.9,0.16,4,181
93.2,32.9,0.16,5,245
93.2,32.9,0.16,6,225
93.2,32.9,0.16,7,153
93.2,32.9,0.16,8,283
93.2,32.9,0.16,9,297
93.2,32.9,0.16,10,196
90.5,26.68,1.11,1,236
90.5,26.68,1.11,2,201
90.5,26.68,1.11,3,173
90.5,26.68,1.11,4,179
90.5,26.68,1.11,5,245
90.5,26.68,1.11,6,231
90.5,26.68,1.11,7,158
90.5,26.68,1.11,8,271
90.5,26.68,1.11,9,295
90.5,26.68,1.11,10,196
46.3,26.86,2.25,1,177
46.3,26.86,2.25,2,142
46.3,26.86,2.25,3,120
46.3,26.86,2.25,4,131
46.3,26.86,2.25,5,186
46.3,26.86,2.25,6,170
46.3,26.86,2.25,7,117
46.3,26.86,2.25,8,209
46.3,26.86,2.25,9,216
46.3,26.86,2.25,10,146
47.2,24.51,3.53,1,165
47.2,24.51,3.53,2,146
47.2,24.51,3.53,3,116
47.2,24.51,3.53,4,123
47.2,24.51,3.53,5,175
47.2,24.51,3.53,6,160
47.2,24.51,3.53,7,107
47.2,24.51,3.53,8,200
47.2,24.51,3.53,9,208
47.2,24.51,3.53,10,141
99.6,34.67,0.31,1,246
99.6,34.67,0.31,2,203
99.6,34.67,0.31,3,177
99.6,34.67,0.31,4,176
99.6,34.67,0.31,5,251
99.6,34.67,0.31,6,233
99.6,34.67,0.31,7,159
99.6,34.67,0.31,8,281
99.6,34.67,0.31,9,301
99.6,34.67,0.31,10,200
96.0,12.1,0.05,1,271
96.0,12.1,0.05,2,231
96.0,12.1,0.05,3,195
96.0,12.1,0.05,4,200
96.0,12.1,0.05,5,284
96.0,12.1,0.05,6,261
96.0,12.1,0.05,7,180
96.0,12.1,0.05,8,318
96.0,12.1,0.05,9,344
96.0,12.1,0.05,10,220
41.3,16.62,3.55,1,173
41.3,16.62,3.55,2,139
41.3,16.62,3.55,3,116
41.3,16.62,3.55,4,121
41.3,16.62,3.55,5,171
41.3,16.62,3.55,6,162
41.3,16.62,3.55,7,110
41.3,16.62,3.55,8,194
41.3,16.62,3.55,9,214
41.3,16.62,3.55,10,137
82.4,43.7,0.39,1,210
82.4,43.7,0.39,2,179
82.4,43.7,0.39,3,153
82.4,43.7,0.39,4,151
82.4,43.7,0.39,5,215
82.4,43.7,0.39,6,203
82.4,43.7,0.39,7,142
82.4,43.7,0.39,8,240
82.4,43.7,0.39,9,257
82.4,43.7,0.39,10,175
39.5,32.92,4.29,1,149
39.5,32.92,4.29,2,128
39.5,32.92,4.29,3,106
39.5,32.92,4.29,4,108
39.5,32.92,4.29,5,153
39.5,32.92,4.29,6,144
39.5,32.92,4.29,7,91
39.5,32.92,4.29,8,171
39.5,32.92,4.29,9,181
39.5,32.92,4.29,10,121
56.7,5.55,4.24,1,188
56.7,5.55,4.24,2,159
56.7,5.55,4.24,3,139
56.7,5.55,4.24,4,145
56.7,5.55,4.24,5,203
56.7,5.55,4.24,6,185
56.7,5.55,4.24,7,121
56.7,5.55,4.24,8,221
56.7,5.55,4.24,9,243
56.7,5.55,4.24,10,153
65.0,1.63,0.29,1,242
65.0,1.63,0.29,2,203
65.0,1.63,0.29,3,172
65.0,1.63,0.29,4,175
65.0,1.63,0.29,5,256
65.0,1.63,0.29,6,232
65.0,1.63,0.29,7,153
65.0,1.63,0.29,8,279
65.0,1.63,0.29,9,302
65.0,1.63,0.29,10,200
58.8,12.15,3.25,1,197
58.8,12.15,3.25,2,161
58.8,12.15,3.25,3,138
58.8,12.15,3.25,4,141
58.8,12.15,3.25,5,207
58.8,12.15,3.25,6,185
58.8,12.15,3.25,7,127
58.8,12.15,3.25,8,233
58.8,12.15,3.25,9,244
58.8,12.15,3.25,10,160
21.9,14.78,3.46,1,151
21.9,14.78,3.46,2,120
21.9,14.78,3.46,3,110
21.9,14.78,3.46,4,109
21.9,14.78,3.46,5,156
21.9,14.78,3.46,6,143
21.9,14.78,3.46,7,101
21.9,14.78,3.46,8,175
21.9,14.78,3.46,9,184
21.9,14.78,3.46,10,118
35.4,14.28,4.06,1,162
35.4,14.28,4.06,2,133
35.4,14.28,4.06,3,118
35.4,14.28,4.06,4,124
35.4,14.28,4.06,5,167
35.4,14.28,4.06,6,151
35.4,14.28,4.06,7,110
35.4,14.28,4.06,8,185
35.4,14.28,4.06,9,200
35.4,14.28,4.06,10,132
52.4,17.93,4.5,1,172
52.4,17.93,4.5,2,139
52.4,17.93,4.5,3,121
52.4,17.93,4.5,4,131
52.4,17.93,4.5,5,181
52.4,17.93,4.5,6,170
52.4,17.93,4.5,7,109
52.4,17.93,4.5,8,203
52.4,17.93,4.5,9,214
52.4,17.93,4.5,10,146
11.4,17.4,3.28,1,131
11.4,17.4,3.28,2,119
11.4,17.4,3.28,3,102
11.4,17.4,3.28,4,99
11.4,17.4,3.28,5,145
11.4,17.4,3.28,6,132
11.4,17.4,3.28,7,85
11.4,17.4,3.28,8,163
11.4,17.4,3.28,9,176
11.4,17.4,3.28,10,109
97.6,48.08,3.38,1,192
97.6,48.08,3.38,2,163
97.6,48.08,3.38,3,137
97.6,48.08,3.38,4,145
97.6,48.08,3.38,5,204
97.6,48.08,3.38,6,188
97.6,48.08,3.38,7,128
97.6,48.08,3.38,8,231
97.6,48.08,3.38,9,240
97.6,48.08,3.38,10,153
44.0,37.69,3.13,1,150
44.0,37.69,3.13,2,129
44.0,37.69,3.13,3,107
44.0,37.69,3.13,4,120
44.0,37.69,3.13,5,165
44.0,37.69,3.13,6,149
44.0,37.69,3.13,7,99
44.0,37.69,3.13,8,179
44.0,37.69,3.13,9,193
44.0,37.69,3.13,10,122
52.1,4.14,0.65,1,218
52.1,4.14,0.65,2,184
52.1,4.14,0.65,3,153
52.1,4.14,0.65,4,167
52.1,4.14,0.65,5,231
52.1,4.14,0.65,6,214
52.1,4.14,0.65,7,139
52.1,4.14,0.65,8,251
52.1,4.14,0.65,9,268
52.1,4.14,0.65,10,183
51.1,37.45,3.01,1,166
51.1,37.45,3.01,2,137
51.1,37.45,3.01,3,112
51.1,37.45,3.01,4,123
51.1,37.45,3.01,5,165
51.1,37.45,3.01,6,158
51.1,37.45,3.01,7,102
51.1,37.45,3.01,8,193
51.1,37.45,3.01,9,201
51.1,37.45,3.01,10,136
54.2,24.73,3.55,1,170
54.2,24.73,3.55,2,150
54.2,24.73,3.55,3,128
54.2,24.73,3.55,4,126
54.2,24.73,3.55,5,176
54.2,24.73,3.55,6,174
54.2,24.73,3.55,7,113
54.2,24.73,3.55,8,203
54.2,24.73,3.55,9,214
54.2,24.73,3.55,10,140
20.6,11.1,0.58,1,173
20.6,11.1,0.58,2,145
20.6,11.1,0.58,3,122
20.6,11.1,0.58,4,129
20.6,11.1,0.58,5,179
20.6,11.1,0.58,6,167
20.6,11.1,0.58,7,116
20.6,11.1,0.58,8,195
20.6,11.1,0.58,9,214
20.6,11.1,0.58,10,138
53.8,31.39,1.7,1,180
53.8,31.39,1.7,2,156
53.8,31.39,1.7,3,135
53.8,31.39,1.7,4,134
53.8,31.39,1.7,5,189
53.8,31.39,1.7,6,175
53.8,31.39,1.7,7,118
53.8,31.39,1.7,8,218
53.8,31.39,1.7,9,222
53.8,31.39,1.7,10,153
75.3,18.18,4.8,1,196
75.3,18.18,4.8,2,163
75.3,18.18,4.8,3,139
75.3,18.18,4.8,4,142
75.3,18.18,4.8,5,197
75.3,18.18,4.8,6,187
75.3,18.18,4.8,7,125
75.3,18.18,4.8,8,222
75.3,18.18,4.8,9,240
75.3,18.18,4.8,10,161
57.5,53.73,2.0,1,155
57.5,53.73,2.0,2,137
57.5,53.73,2.0,3,119
57.5,53.73,2.0,4,113
57.5,53.73,2.0,5,170
57.5,53.73,2.0,6,155
57.5,53.73,2.0,7,99
57.5,53.73,2.0,8,182
57.5,53.73,2.0,9,196
57.5,53.73,2.0,10,133
18.7,58.91,0.08,1,127
18.7,58.91,0.08,2,112
18.7,58.91,0.08,3,90
18.7,58.91,0.08,4,90
18.7,58.91,0.08,5,138
18.7,58.91,0.08,6,121
18.7,58.91,0.08,7,82
18.7,58.91,0.08,8,152
18.7,58.91,0.08,9,157
18.7,58.91,0.08,10,100
61.5,3.29,4.41,1,195
61.5,3.29,4.41,2,163
61.5,3.29,4.41,3,145
61.5,3.29,4.41,4,145
61.5,3.29,4.41,5,199
61.5,3.29,4.41,6,192
61.5,3.29,4.41,7,124
61.5,3.29,4.41,8,228
61.5,3.29,4.41,9,245
61.5,3.29,4.41,10,165
43.2,20.72,0.4,1,195
43.2,20.72,0.4,2,159
43.2,20.72,0.4,3,132
43.2,20.72,0.4,4,143
43.2,20.72,0.4,5,194
43.2,20.72,0.4,6,187
43.2,20.72,0.4,7,128
43.2,20.72,0.4,8,226
43.2,20.72,0.4,9,244
43.2,20.72,0.4,10,162
32.3,30.57,4.67,1,138
32.3,30.57,4.67,2,112
32.3,30.57,4.67,3,100
32.3,30.57,4.67,4,99
32.3,30.57,4.67,5,140
32.3,30.57,4.67,6,139
32.3,30.57,4.67,7,92
32.3,30.57,4.67,8,159
32.3,30.57,4.67,9,176
32.3,30.57,4.67,10,112
17.5,2.06,4.6,1,146
17.5,2.06,4.6,2,122
17.5,2.06,4.6,3,105
17.5,2.06,4.6,4,108
17.5,2.06,4.6,5,151
17.5,2.06,4.6,6,139
17.5,2.06,4.6,7,96
17.5,2.06,4.6,8,173
17.5,2.06,4.6,9,183
17.5,2.06,4.6,10,124
90.4,18.41,2.99,1,231
90.4,18.41,2.99,2,188
90.4,18.41,2.99,3,160
90.4,18.41,2.99,4,173
90.4,18.41,2.99,5,238
90.4,18.41,2.99,6,216
90.4,18.41,2.99,7,150
90.4,18.41,2.99,8,260
90.4,18.41,2.99,9,281
90.4,18.41,2.99,10,181
74.3,27.01,1.77,1,204
74.3,27.01,1.77,2,175
74.3,27.01,1.77,3,154
74.3,27.01,1.77,4,156
74.3,27.01,1.77,5,215
74.3,27.01,1.77,6,201
74.3,27.01,1.77,7,134
74.3,27.01,1.77,8,245
74.3,27.01,1.77,9,264
74.3,27.01,1.77,10,171
52.9,40.63,1.44,1,177
52.9,40.63,1.44,2,145
52.9,40.63,1.44,3,124
52.9,40.63,1.44,4,130
52.9,40.63,1.44,5,175
52.9,40.63,1.44,6,165
52.9,40.63,1.44,7,108
52.9,40.63,1.44,8,200
52.9,40.63,1.44,9,221
52.9,40.63,1.44,10,142
31.1,54.84,0.98,1,140
31.1,54.84,0.98,2,112
31.1,54.84,0.98,3,98
31.1,54.84,0.98,4,107
31.1,54.84,0.98,5,144
31.1,54.84,0.98,6,139
31.1,54.84,0.98,7,86
31.1,54.84,0.98,8,160
31.1,54.84,0.98,9,173
31.1,54.84,0.98,10,116
17.3,14.79,2.98,1,152
17.3,14.79,2.98,2,124
17.3,14.79,2.98,3,108
17.3,14.79,2.98,4,112
17.3,14.79,2.98,5,158
17.3,14.79,2.98,6,144
17.3,14.79,2.98,7,94
17.3,14.79,2.98,8,169
17.3,14.79,2.98,9,180
17.3,14.79,2.98,10,117
54.2,41.57,1.04,1,181
54.2,41.57,1.04,2,144
54.2,41.57,1.04,3,130
54.2,41.57,1.04,4,127
54.2,41.57,1.04,5,178
54.2,41.57,1.04,6,170
54.2,41.57,1.04,7,119
54.2,41.57,1.04,8,208
54.2,41.57,1.04,9,220
54.2,41.57,1.04,10,143
96.3,12.33,3.39,1,232
96.3,12.33,3.39,2,198
96.3,12.33,3.39,3,175
96.3,12.33,3.39,4,174
96.3,12.33,3.39,5,249
96.3,12.33,3.39,6,233
96.3,12.33,3.39,7,152
96.3,12.33,3.39,8,275
96.3,12.33,3.39,9,298
96.3,12.33,3.39,10,196
31.1,40.06,0.04,1,160
31.1,40.06,0.04,2,130
31.1,40.06,0.04,3,117
31.1,40.06,0.04,4,123
31.1,40.06,0.04,5,169
31.1,40.06,0.04,6,158
31.1,40.06,0.04,7,100
31.1,40.06,0.04,8,185
31.1,40.06,0.04,9,198
31.1,40.06,0.04,10,132
91.9,32.82,4.0,1,203
91.9,32.82,4.0,2,163
91.9,32.82,4.0,3,147
91.9,32.82,4.0,4,145
91.9,32.82,4.0,5,206
91.9,32.82,4.0,6,191
91.9,32.82,4.0,7,127
91.9,32.82,4.0,8,235
91.9,32.82,4.0,9,253
91.9,32.82,4.0,10,166
49.4,30.55,4.97,1,158
49.4,30.55,4.97,2,131
49.4,30.55,4.97,3,105
49.4,30.55,4.97,4,119
49.4,30.55,4.97,5,157
49.4,30.55,4.97,6,149
49.4,30.55,4.97,7,103
49.4,30.55,4.97,8,175
49.4,30.55,4.97,9,196
49.4,30.55,4.97,10,130
84.1,11.38,1.71,1,245
84.1,11.38,1.71,2,203
84.1,11.38,1.71,3,171
84.1,11.38,1.71,4,182
84.1,11.38,1.71,5,252
84.1,11.38,1.71,6,233
84.1,11.38,1.71,7,160
84.1,11.38,1.71,8,287
84.1,11.38,1.71,9,299
84.1,11.38,1.71,10,202
62.3,40.4,3.32,1,170
62.3,40.4,3.32,2,136
62.3,40.4,3.32,3,123
62.3,40.4,3.32,4,123
62.3,40.4,3.32,5,176
62.3,40.4,3.32,6,159
62.3,40.4,3.32,7,106
62.3,40.4,3.32,8,200
62.3,40.4,3.32,9,208
62.3,40.4,3.32,10,133
35.4,56.01,4.05,1,124
35.4,56.01,4.05,2,106
35.4,56.01,4.05,3,86
35.4,56.01,4.05,4,96
35.4,56.01,4.05,5,126
35.4,56.01,4.05,6,122
35.4,56.01,4.05,7,83
35.4,56.01,4.05,8,148
35.4,56.01,4.05,9,151
35.4,56.01,4.05,10,102
39.2,8.64,3.72,1,167
39.2,8.64,3.72,2,144
39.2,8.64,3.72,3,122
39.2,8.64,3.72,4,131
39.2,8.64,3.72,5,177
39.2,8.64,3.72,6,168
39.2,8.64,3.72,7,113
39.2,8.64,3.72,8,197
39.2,8.64,3.72,9,217
39.2,8.64,3.72,10,138
66.5,16.09,3.38,1,196
66.5,16.09,3.38,2,169
66.5,16.09,3.38,3,144
66.5,16.09,3.38,4,149
66.5,16.09,3.38,5,205
66.5,16.09,3.38,6,192
66.5,16.09,3.38,7,131
66.5,16.09,3.38,8,228
66.5,16.09,3.38,9,249
66.5,16.09,3.38,10,162
58.2,55.79,3.98,1,144
58.2,55.79,3.98,2,116
58.2,55.79,3.98,3,100
58.2,55.79,3.98,4,105
58.2,55.79,3.98,5,155
58.2,55.79,3.98,6,136
58.2,55.79,3.98,7,90
58.2,55.79,3.98,8,164
58.2,55.79,3.98,9,175
58.2,55.79,3.98,10,114
13.3,31.99,3.16,1,132
13.3,31.99,3.16,2,107
13.3,31.99,3.16,3,95
